key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,19,18,down,0.005,db,0.050201882667991055,0.015163299860432744,68.8326900000684,68.8326900000684,69.13250420009717,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,20,19,down,0.005,db,0.05017299245739198,0.015161599963903427,71.56606860016473,71.56606860016473,71.86573550011963,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,21,20,up,0.005,db,0.050201882667991055,0.015447000041604042,73.94943760009483,73.94943760009483,74.2490038999822,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,22,21,up,0.005,db,0.05023078951391977,0.010966700036078691,76.51789800007828,76.51789800007828,76.8321913999971,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,23,22,up,0.005,db,0.05025971300475695,0.09089499991387129,78.96569410013035,78.96569410013035,79.26543959998526,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,24,23,up,0.005,db,0.05025971300475695,0.015108299907296896,81.31558180018328,81.31558180018328,81.61530060018413,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,25,24,up,0.005,db,0.050288653150086925,0.015068200184032321,83.96695330017246,83.96695330017246,84.28188870009035,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,26,25,up,0.005,db,0.050288653150086925,0.015412200009450316,86.38223840016872,86.38223840016872,86.68187470012344,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,27,26,up,0.005,db,0.050288653150086925,0.014794900082051754,88.84880360006355,88.84880360006355,89.14835939998738,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,28,27,down,0.005,db,0.05025971300475695,0.014348699944093823,91.39825320011005,91.39825320011005,91.6982897000853,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,29,28,up,0.005,db,0.050288653150086925,0.01515830005519092,93.81523780012503,93.81523780012503,94.11498250020668,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,30,29,up,0.005,db,0.050288653150086925,0.015832799952477217,96.26498070009984,96.26498070009984,96.56489050015807,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,31,30,up,0.005,db,0.050288653150086925,0.01519570010714233,98.73149720020592,98.73149720020592,99.03134390013292,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
